"id","glk_word","glk_example","fa_word","fa_example","en_word","en_example"
1,"آ","آ مأمۊد خؤرم آدمه","آقا","آقا محمود آدم خوبى است","Mr.","Mr. Mahmoud is a good person"
2,"آب دأن درم","گۊلانأ آب دأن درم","دارم آب می‌دهم","دارم به گل‌ها آب مى‌دهم","Watering","I'm watering the flowers"
3,"آج","آج بأورده","سیری‌ناپذیر","سیری‌ناپذیر است","Insatiable","He/She is insatiable"
4,"آجۊر","آجۊر ديفارˇ جأ کفتن دره","آجر","آجر دارد از دیوار مى‌افتد","Bricks","The brick is falling from the wall"
5,"آخربسر","من کي دأنم آخربسر وا بأئي مي ويجأ","سرانجام","من که مى‌دانم سرانجام باید نزد من بیایى","Finally","I know that you finally must come to me"
6,"آخرپس","شانامه آخرپس خۊشه","پایان","پایان شاهنامه خوش است","End","The end of Shahnameh is happy"
7,"آدم-نفر","شيمي آدم -نفران کؤيأ ايسأئيد؟","اعضا","اعضای شما کجا هستند؟","Members","Where are your members?"
8,"آشخال جابه","آشخالانأ تأود آشخال جابه","سطل زباله","زباله‌ها را داخل سطل زباله بینداز","Trash Bin","Throw garbage in the trash bin"
9,"آغۊز","آغۊز خۊري؟","گردو","گردو می‌خوری؟","Walnut","Do you eat walnut?"
10,"آلاخان والاخان","آلاخان والاخاني جأ بئتره","دربه‌در","از دربه‌دری بهتر است","Homeless","It is better than being homeless"
11,"آها","آها، منم أيم","بله","بله، من هم می‌آیم","Yes","Yes, I come too"
12,"آهين","مي دۊکان آهين پۊرد ٚ ور نهأ","آهن","مغازه من کنار پل آهنی است","Iron","My shop is next to the iron bridge"
13,"آوج","هرچي زنگ بزئم آوجأ ندأ","جواب","هر چه زنگ زدم جواب نداد","Answer","Whatever I called he/she didn't answer"
14,"أ","شۊفاژأ چأکۊدي؟","را","شوفاژ را تعمیر کردی؟","The","Did you repair the radiator?"
15,"أبچ","أبچˇ کاران کۊدن نوأ","بى‌مزه","کارهاى بى‌مزه نکن","Corny","Don't do something corny"
16,"أتؤ","أتؤ ني-يه","چنین","چنین نیست","Like This","It's not like this"
17,"أجۊر","أجۊر چي-يان مرأ حالي ني-يه","این‌گونه","این‌گونه چیزها را متوجه نمى‌شوم","Such","I don't understand such things"
18,"أذب","مي برار أذبه","مجرد","برادرم مجرد است","Single","My brother is single"
19,"أرايم","أرايم بيأ","این‌طرف هم","این‌طرف هم بیا","This Way Too","Come this way too"
20,"أرسۊ","تي أرسۊئانأ پاکۊن","اشک","اشک‌‌هایت را پاک کن","Tear","Wipe your tears"
21,"أزازيل","أ أزازيلˇ زاکانأ فأندر","بسیار شیطان","این بچه‌هاى بسیار شیطان را نگاه کن","Very Naughty","Look at these very Naughty kids"
22,"أسباب","ايپچه أسباب بأورم بۊخۊري؟","خوراکى","کمى خوراکى بیاورم بخورى؟","Snack","Should I get you some snack to eat?"
23,"أشان","أشان کي أمؤن دريد کيسيد؟","ایشان","ایشان که دارند مى‌آیند چه کسانى هستند؟","They","Who are they coming?"
24,"أشبل","مائي أشبلˇ مرأ کۊکۊ چأکۊنيدي","تخم ماهى","با تخم ماهى کوکو درست مى‌کنند","Fish Egg","They make cutlet with fish egg"
25,"ألاو","جه وس هوا سرده أمي دهنأ ألاو بيرۊن أيه","بخار","از بس هوا سرد است از دهان ما بخار خارج مى‌شود","Steam","It's too cold that steam come from our mouth"
26,"ألباقي","شيرˇ ألباقي-يأ دۊکۊن جا دۊرۊن","باقى‌مانده","باقى‌مانده شیر را داخل ظرف بریز","Remaining","Pour the remaining milk into the dish"
27,"ألنگ","مرأ ألنگ بزه بکفتم","پشت پا","به من پشت پا زد افتادم","Trip","He/She tripped me and I fell"
28,"أمأن","أمأن دۊ نفريم","ما","ما دو نفر هستیم","We","We are two people"
29,"أمؤن","ورزشگا جأ أمؤن درم","آمدن","دارم از استادیوم مى‌آیم","Coming","I'm coming from the stadium"
30,"أمبست","أ دؤغ پۊر أمبسته","غلیظ","این دوغ خیلى غلیظ است","Thick","This yogurt is very thick"
31,"أمرأ","منم تي أمرأ أيم","با","من هم با تو مى‌آیم","With","I'm coming with you"
32,"أمي","شۊمانم أمي أمرأ أئيدي؟","ما","شما هم با ما مى‌آیید؟","Us","Are you also come with us?"
